307.851, 129.489, 4.947,  3.522 False
307.768, 129.489, 4.965,  3.539 False
307.685, 129.489, 4.982,  3.556 False
307.602, 129.489, 5.000,  3.573 False
307.518, 129.489, 5.017,  3.590 False
307.434, 129.489, 5.035,  3.607 False
307.350, 129.489, 5.052,  3.624 False
307.265, 129.489, 5.069,  3.641 False
307.181, 129.489, 5.086,  3.658 False
307.096, 129.489, 5.103,  3.675 False
307.010, 129.489, 5.120,  3.692 False
306.925, 129.489, 5.137,  3.709 False
306.839, 129.491, 5.149,  3.726 False
306.753, 129.492, 5.166,  3.743 False
306.666, 129.495, 5.179,  3.760 False
306.580, 129.496, 5.197,  3.777 False
306.493, 129.499, 5.209,  3.794 False
306.406, 129.501, 5.226,  3.811 False
306.319, 129.504, 5.232,  3.828 False
306.231, 129.506, 5.246,  3.845 False
306.144, 129.509, 5.243,  3.862 False
306.057, 129.511, 5.253,  3.879 False
305.969, 129.514, 5.247,  3.896 False
305.882, 129.516, 5.250,  3.913 False
305.795, 129.520, 5.248,  3.930 False
305.707, 129.522, 5.251,  3.947 False
305.620, 129.525, 5.251,  3.964 False
305.533, 129.528, 5.257,  3.981 False
305.445, 129.532, 5.261,  3.998 False
305.357, 129.535, 5.270,  4.015 False
305.269, 129.539, 5.278,  4.032 False
305.181, 129.542, 5.291,  4.049 False
305.093, 129.546, 5.304,  4.066 False
305.004, 129.549, 5.321,  4.083 False
304.916, 129.553, 5.337,  4.100 False
304.826, 129.557, 5.358,  4.117 False
304.737, 129.561, 5.378,  4.134 False
304.647, 129.565, 5.402,  4.151 False
304.556, 129.570, 5.426,  4.168 False
304.465, 129.574, 5.454,  4.185 False
304.374, 129.579, 5.481,  4.202 False
304.282, 129.583, 5.512,  4.219 False
304.190, 129.589, 5.542,  4.236 False
304.097, 129.593, 5.575,  4.253 False
304.003, 129.599, 5.606,  4.270 False
303.909, 129.603, 5.641,  4.287 False
303.815, 129.609, 5.673,  4.304 False
303.719, 129.614, 5.708,  4.321 False
303.624, 129.620, 5.742,  4.338 False
303.527, 129.625, 5.775,  4.355 False
303.431, 129.631, 5.807,  4.372 False
303.333, 129.636, 5.840,  4.389 False
303.236, 129.642, 5.870,  4.406 False
303.137, 129.647, 5.900,  4.423 False
303.039, 129.653, 5.927,  4.440 False
302.940, 129.659, 5.954,  4.457 False
302.840, 129.665, 5.978,  4.474 False
302.740, 129.671, 6.001,  4.491 False
302.640, 129.677, 6.022,  4.508 False
302.539, 129.683, 6.042,  4.525 False
302.439, 129.690, 6.059,  4.542 False
302.338, 129.696, 6.076,  4.559 False
302.236, 129.703, 6.090,  4.576 False
302.135, 129.709, 6.104,  4.593 False
302.033, 129.716, 6.116,  4.610 False
301.932, 129.722, 6.128,  4.627 False
301.830, 129.729, 6.138,  4.644 False
301.727, 129.736, 6.149,  4.661 False
301.625, 129.743, 6.158,  4.678 False
301.523, 129.749, 6.167,  4.695 False
301.420, 129.757, 6.175,  4.712 False
301.317, 129.763, 6.184,  4.729 False
301.215, 129.771, 6.192,  4.746 False
301.111, 129.778, 6.201,  4.763 False
301.008, 129.785, 6.209,  4.780 False
300.905, 129.792, 6.218,  4.797 False
300.802, 129.800, 6.226,  4.814 False
300.698, 129.807, 6.236,  4.831 False
300.594, 129.815, 6.246,  4.848 False
300.490, 129.822, 6.256,  4.865 False
